equipment_energy_consumption,outdoor_temperature,hour,zone_temperature,zone_humidity
50.0,5.18333333333333,1,17.809259259259264,52.32592592592592
40.0,4.86666666666667,2,19.449516465551955,52.61777777777778
40.0,4.96666666666667,5,17.397037037037038,48.088117744211445
40.0,4.95,5,17.38777777777778,52.91592592592592
60.0,7.0,12,17.483703703703696,45.40450096954137
130.0,7.3333333333333295,13,15.835202018972094,49.03201388888888
60.0,7.0,14,17.538641975308643,48.37051851851852
60.0,6.98333333333333,14,16.053028221886898,48.20544444444444
40.0,6.43333333333333,16,17.335129629629627,47.417218013468016
30.0,4.9,18,22.936733790841352,49.19250000000001
40.0,4.9,21,16.974814814814813,49.520370370370365
30.0,5.0,21,19.230759411132038,49.49925925925927
50.0,5.4,22,17.03710648148148,50.22033389450056
50.0,5.46666666666667,22,17.057079124579133,50.35474747474746
40.0,5.5,23,17.06847222222222,50.29624999999999
50.0,5.8333333333333295,23,17.07222222222222,50.00000000000001
50.0,6.0,0,17.079259259259263,49.94773148148148
30.0,5.883333333333329,0,17.08888888888889,49.822116402116414
20.0,5.76666666666667,0,15.505633923483096,49.887962962962966
30.0,5.65,0,17.05787878787879,45.2192351635463
50.0,5.3,1,16.990740740740737,51.03666666666666
40.0,5.36666666666667,4,16.967498514557334,50.933888888888895
40.0,5.26666666666667,4,18.96970297967854,50.945925925925934
50.0,5.91666666666667,11,17.045185185185176,47.90037037037038
50.0,5.66666666666667,12,17.003888888888884,46.1587962962963
30.0,5.5833333333333295,12,17.02648148148149,45.835925925925906
50.0,6.2,13,15.537102295960981,45.20907407407408
50.0,6.66666666666667,13,16.940370370370374,44.80925925925927
40.0,6.6,14,15.370150501552823,44.59888888888889
30.0,6.3333333333333295,15,17.22037037037037,43.15231481481481
30.0,6.35,15,17.248703703703693,42.89203703703702
80.0,6.16666666666667,16,19.55150015187278,42.718888888888884
80.0,5.46666666666667,16,17.24814814814814,43.0712962962963
60.0,2.95,22,17.102962962962962,51.122222222222234
50.0,3.0,23,16.918888888888887,54.656232147603845
50.0,2.8,0,17.564955006493715,59.057423277906146
30.0,2.833333333333329,1,16.672962962962956,51.60703703703703
30.0,3.36666666666667,4,16.576666666666664,56.206988715673866
50.0,3.333333333333329,4,16.534814814814812,51.46888888888888
40.0,3.5,6,16.520740740740745,51.50740740740741
40.0,3.8,6,20.079434363457153,51.43037037037036
140.0,4.2,13,17.25111111111111,50.079629629629636
60.0,4.7,13,17.454074074074068,49.91925925925926
60.0,5.15,14,17.511481481481482,49.55888888888887
60.0,5.383333333333329,14,17.491203703703704,49.13972222222224
40.0,5.46666666666667,15,17.51407407407407,48.49666666666667
40.0,2.45,22,18.272962962962957,46.3674074074074
50.0,1.75,22,18.17148148148148,47.84481481481481
50.0,0.0,1,19.77699462415338,50.326296296296285
50.0,0.55,2,17.813703703703702,50.42592592592591
40.0,1.53333333333333,3,17.800370370370366,50.48851851851852
30.0,1.76666666666667,3,16.355167879663988,50.49287037037036
50.0,2.75,4,17.766296296296296,50.510000000000005
50.0,2.95,4,17.686666666666664,50.517037037037035
50.0,3.06666666666667,5,17.678888888888885,50.500740740740724
50.0,3.2,6,17.616296296296298,50.21148148148147
80.0,3.8,12,17.561028806584357,45.22508230452675
70.0,4.25,14,17.869643347050754,44.629574759945136
60.0,3.56666666666667,15,18.05031550068587,43.82083676268862
50.0,2.63333333333333,15,18.078038408779157,44.46698216735254
50.0,1.95,16,20.175204500696584,44.66558641975309
90.0,2.43333333333333,17,18.015665294924545,46.286042524005474
150.0,2.45,22,19.981769749757053,51.11296296296296
40.0,2.3,0,16.636930219779394,50.30694444444445
50.0,2.175,1,18.26407407407408,50.15037037037038
40.0,2.1,2,18.185185185185187,50.103333333333325
50.0,1.05,3,17.81518518518519,49.95777777777778
50.0,0.6,4,17.666666666666668,49.890370370370384
60.0,0.6,4,17.612222222222222,49.871851851851844
50.0,0.6,4,17.555925925925926,49.82287037037037
60.0,0.75,6,17.50759259259259,49.7963888888889
50.0,1.28333333333333,8,17.882962962962967,49.71333333333333
60.0,1.41666666666667,9,17.943333333333335,49.795555555555545
60.0,2.75,10,16.614461250854404,49.423703703703715
50.0,3.9,11,18.246759259259257,49.43703703703703
80.0,5.1,12,16.748596886446066,49.62000000000001
80.0,5.8333333333333295,13,18.506666666666668,51.857777777777784
90.0,5.6,14,18.657777777777774,50.52185185185184
70.0,5.5,14,18.722222222222214,50.2662962962963
50.0,0.75,0,18.156481481481475,48.987870370370366
50.0,0.866666666666667,1,18.075555555555557,49.148518518518514
40.0,0.7,2,18.008518518518517,49.5625925925926
50.0,0.533333333333333,3,15.946096174529607,49.88481481481482
40.0,0.416666666666667,5,16.2075752870714,46.01024737384108
50.0,0.4333333333333329,6,17.65962962962963,50.07777777777779
90.0,0.75,10,17.861481481481484,43.353321583299405
110.0,2.56666666666667,12,19.947927221292577,46.85611111111111
120.0,2.81666666666667,12,18.32444444444444,52.22581495457288
130.0,2.93333333333333,13,18.434074074074076,46.4074074074074
120.0,2.966666666666669,13,18.435925925925922,46.39148148148148
100.0,3.1,15,18.339324675324676,43.56680375180377
70.0,2.9,15,18.45037037037038,40.39496393250434
80.0,2.38333333333333,16,18.52499999999999,44.19864197530863
80.0,1.43333333333333,16,18.370925925925924,43.6562962962963
50.0,-3.3,1,17.376358024691356,48.234938271604946
40.0,-4.0,2,17.078395061728397,44.033488114581814
40.0,-4.0,3,16.88727513227513,48.07616402116402
40.0,-4.0,4,18.32454752753482,48.01555555555555
50.0,-4.0,4,16.791851851851842,48.05246913580247
40.0,-4.0,4,16.78333333333333,48.11148148148149
80.0,-4.55,6,16.60941358024691,48.12074074074074
40.0,-4.7,6,18.060734370996276,53.46275939901732
50.0,-4.7,7,16.533703703703708,48.24450617283951
30.0,-4.36666666666667,8,18.226439068597827,47.845555555555556
50.0,-4.23333333333333,8,16.383333333333333,47.7991975308642
40.0,-4.1,9,16.387777777777778,47.740802469135794
50.0,-3.7,9,16.388580246913584,47.71512345679014
30.0,-2.63333333333333,10,16.47796296296296,47.75055555555556
40.0,-2.41666666666667,10,16.49685185185185,47.76907407407408
50.0,-2.06666666666667,11,16.5441975308642,47.80716049382716
40.0,-1.8,11,16.59419753086419,47.79160493827161
50.0,-1.66666666666667,11,16.604444444444443,47.765370370370384
40.0,-1.53333333333333,11,15.157225752751101,47.769104938271596
50.0,-1.25,12,16.65481481481481,47.70475308641976
20.0,-1.15,12,16.67037037037037,47.702654320987655
50.0,-0.683333333333333,13,16.708888888888886,47.62135802469136
20.0,-0.4333333333333329,15,16.705185185185186,47.555462962962956
30.0,-0.466666666666667,15,16.674629629629624,47.480030864197516
40.0,-1.33333333333333,17,16.340925925925927,46.76918871252205
40.0,-1.46666666666667,17,16.287111111111113,46.561
50.0,-4.51666666666667,0,16.23724867724867,46.76745149911816
